Step,Loss/classification_loss,Loss/localization_loss,Loss/regularization_loss,Loss/total_loss,learning_rate
100,0.3718411,0.58339494,0.15439041,1.1096265,0.0319994
200,0.21799617,0.29094777,0.15464805,0.663592,0.0373328
300,0.23347643,0.24520513,0.15493344,0.633615,0.0426662
400,0.2277902,0.18391943,0.15536016,0.56706977,0.047999598
500,0.27643406,0.20640172,0.15530661,0.63814235,0.053333
600,0.25274536,0.18388641,0.15503073,0.5916625,0.0586664
700,0.26103488,0.18975472,0.15474185,0.60553145,0.0639998
800,0.15567784,0.09920186,0.1544033,0.409283,0.069333196
900,0.10644666,0.089213915,0.15409335,0.34975392,0.074666604
1000,0.109040305,0.050814584,0.15371118,0.3135661,0.08
1100,0.09568445,0.083260395,0.15325895,0.3322038,0.07999918
1200,0.09618343,0.08205078,0.15267673,0.33091092,0.079996705
1300,0.11578455,0.08603725,0.1520313,0.3538531,0.0799926
1400,0.12643005,0.08200709,0.15147339,0.35991055,0.07998685
1500,0.09618252,0.063156545,0.15079415,0.31013322,0.07997945
1600,0.11453042,0.05209129,0.15008026,0.31670198,0.079970405
1700,0.085227706,0.05324239,0.14943773,0.28790784,0.07995972
1800,0.116995946,0.052346148,0.14874604,0.31808814,0.0799474
1900,0.09396638,0.035427142,0.14806223,0.27745575,0.07993342
2000,0.122828364,0.0419471,0.14734519,0.31212065,0.07991781
2100,0.15813492,0.05672945,0.14666581,0.36153018,0.07990056
2200,0.06859122,0.045299225,0.14594235,0.2598328,0.07988167
2300,0.12388272,0.07077224,0.14528167,0.3399366,0.07986114
2400,0.10369203,0.05526253,0.14457993,0.3035345,0.07983897
2500,0.109144606,0.0370448,0.14382845,0.29001784,0.079815164
2600,0.11379342,0.047366235,0.14312112,0.30428076,0.07978972
2700,0.082245946,0.035967004,0.14241104,0.260624,0.07976264
2800,0.08142858,0.032484792,0.14172357,0.25563693,0.07973392
2900,0.08080202,0.044191893,0.14100151,0.26599544,0.07970358
3000,0.08720274,0.028896442,0.14029375,0.25639293,0.0796716
3100,0.07899334,0.037518274,0.13958897,0.2561006,0.07963799
3200,0.07244542,0.029212253,0.13888864,0.24054632,0.07960275
3300,0.082725115,0.042564448,0.13821767,0.26350725,0.07956588
3400,0.06023262,0.030395545,0.13749397,0.22812213,0.079527386
3500,0.08812256,0.07214506,0.13680063,0.29706824,0.07948727
3600,0.07153638,0.033466298,0.13610283,0.2411055,0.079445526
3700,0.06975452,0.026883982,0.13542603,0.23206453,0.07940216
3800,0.06599731,0.04344037,0.13473338,0.24417105,0.079357184
3900,0.0606548,0.018386954,0.13405347,0.21309522,0.07931058
4000,0.048112947,0.03357362,0.13342735,0.21511392,0.07926236
4100,0.11127729,0.031054754,0.13276577,0.27509782,0.07921253
4200,0.0600467,0.028126685,0.13210423,0.2202776,0.07916109
4300,0.06798027,0.02644387,0.1314345,0.22585863,0.07910804
4400,0.08748543,0.03839637,0.1307719,0.25665373,0.07905338
4500,0.08432153,0.028784687,0.13011323,0.24321944,0.07899711
4600,0.056251135,0.023492256,0.12946282,0.20920622,0.078939244
4700,0.0649835,0.014459868,0.12878902,0.2082324,0.07887978
4800,0.07826388,0.034231238,0.12810858,0.24060369,0.07881871
4900,0.108092815,0.03450784,0.12748651,0.27008718,0.07875605
5000,0.10493381,0.046130143,0.12686253,0.27792647,0.078691795
